,xxx
97,[CH2:1]1[CH2:2][C:7]2([C:5]([O:4][CH3:3])=[O:6])[C:8](=[O:9])[O:10][C:11]1([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[N:18]2[CH3:19]
98,[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[C:14]2([C:12]([NH:11][CH3:10])=[O:13])[NH:15][C:16]1([CH3:17])[O:18][C:19]2=[O:20]
99,[CH3:1][C:2]1([CH3:3])[CH:4]([CH:5]=[O:6])[CH:8]([CH3:7])[NH:9][N:10]1[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1
100,[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[N:13]([C:11]([CH3:10])=[O:12])[N:14]([CH3:15])[C:16]1([C:17]#[N:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1
101,[CH3:1][C:2]([CH3:3])=[CH:4][C@H:5]1[C@H:6]([C:7]([CH3:8])=[CH2:9])[C:19]([CH3:20])([c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[N:17]([CH3:18])[C:14]1([C:12]([NH:11][CH3:10])=[O:13])[C:15]#[N:16]
102,[CH3:1][O:2][C:3](=[O:4])/[C:5](=[C:6](/[C:7](=[O:8])[O:9][CH3:10])[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1.[CH3:23][C-:24]([N+:25]#[C:26][c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1)[c:33]1[cH:34][cH:35][cH:36][cH:37][cH:38]1
103,[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH3:6].[CH3:7][NH:8][C:9](=[O:10])[C:11]([C:12](=[O:13])[O:14][CH3:15])=[N+:16]([CH3:17])[N-:18][C:19]#[N:20]
104,[CH3:15][C:16](=[O:17])[C:18]([c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)=[N+:25]([CH3:26])[CH-:27][c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1.[CH3:1][NH:2][C:3](=[O:4])[CH:5]1[C:6]#[C:7][C:8]([CH3:9])([CH3:10])[CH2:11][CH2:12][CH2:13][CH2:14]1
105,[C:1]1(=[O:2])[C:3]([O:4][CH3:5])=[C:6]([O:7][CH3:8])[C:9](=[O:10])[C@@:11]2([CH3:12])[C@:13]1([CH3:14])[N:16]([CH3:15])[O:17][C:18]2([CH3:19])[CH3:20]
106,[CH3:1][C:2]1=[C:3]([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[CH:14]([C:12]([O:11][CH3:10])=[O:13])[N:15]([CH3:16])[C:17]1([C:18](=[O:19])[O:20][CH3:21])[C:22](=[O:23])[O:24][CH3:25]
107,[C:1]1(=[O:2])[C:3]([O:4][CH3:5])=[C:6]([O:7][CH3:8])[C:9](=[O:10])[C:11]([CH3:12])=[C:13]1[CH3:14].[CH3:15][NH:16][C:17](=[O:18])[C:19](=[O+:20][C-:21]([C:22]#[N:23])[C:24](=[O:25])[NH:26][CH3:27])[C:28](=[O:29])[NH:30][CH3:31]
108,[CH3:1][O:2][C:3]12[C:4]([c:5]3[cH:6][cH:7][cH:8][cH:9][cH:10]3)([CH:11]3[CH:12]=[CH:13][CH:14]1[O:15]3)[C:24]1([C:25]([CH3:26])=[O:27])[O:23][C:21](=[O:22])[C:20]2([C:18]([NH:17][CH3:16])=[O:19])[N:28]1[CH3:29]
109,[CH3:1][NH:2][C:3](=[O:4])[C:5]12[C:6]([C:7](=[O:8])[O:9][CH3:10])([CH:11]3[CH:12]=[CH:13][CH:14]1[O:15]3)[CH:22]([C:23]#[N:24])[NH:21][C:20]2([C:18]([NH:17][CH3:16])=[O:19])[C:25]([CH3:26])=[O:27]
110,[O-:1][C:2](=[O:3])[C@H:4]1[C@H:5]([C:6](=[O:7])[O-:8])[CH2:9][N:10]([CH3:11])[C:12]1([C:13]([CH3:14])=[O:15])[C:16]([CH3:17])=[O:18]
111,[CH3:1]/[CH:2]=[CH:3]/[CH3:4].[CH3:5][NH:6][C:7](=[O:8])[C-:9]([C:10](=[O:11])[O:12][CH3:13])[N+:14]([CH3:15])=[CH:16][C:17]([CH3:18])=[O:19]
112,[CH3:1]/[CH:2]=[CH:3]/[CH3:4].[CH3:5][NH:6][C:7](=[O:8])[C-:9]([C:10]([CH3:11])=[O:12])[N+:13]([CH3:14])=[C:15]([CH3:16])[CH3:17]
113,[CH3:1][O:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[CH:8]2[CH:9]3[CH:10]([CH:11]1[O:12]2)[CH:14]([CH3:13])[O:15][CH:16]3[C:17](=[O:18])[NH:19][CH3:20]
114,[N:1]#[C:2][C:3]1([C:4]([F:5])([F:6])[F:7])[C:8]2=[C:9]([C:10]([C:11]([F:12])([F:13])[F:14])([C:15]([F:16])([F:17])[F:18])[CH2:19][CH2:20][CH2:21][CH2:22]1)[CH:27]([C:25]([NH:24][CH3:23])=[O:26])[O:28][CH:29]2[C:30]#[N:31]
115,[CH3:15][C:16](=[O:17])[C:18](=[O+:19][C-:20]([c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1)[c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1)[C:33]([CH3:34])=[O:35].[Cl:1][C:2]1=[C:3]([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[CH:10]2[CH:11]=[CH:12][CH:13]1[O:14]2
116,[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH3:6].[N:7]#[C:8][C-:9]([N+:10]#[C:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1
117,[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:6]([Cl:7])[Cl:8].[CH3:9][C:10]([CH3:11])=[NH+:12][C-:13]([CH3:14])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1
118,[CH2:1]1[C@H:2]2[C@@H:3]([N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10])[C:17]([C:18]#[N:19])([C:20]#[N:21])[NH:16][C:15]2([C:13]([NH:12][CH3:11])=[O:14])[C:22]([CH3:23])=[O:24]
119,[CH3:1][C:2]([CH3:3])=[CH:4][C@H:5]1[C@H:6]([C:7]([CH3:8])=[CH2:9])[C:14]([C:12]([NH:11][CH3:10])=[O:13])([C:15]#[N:16])[N:17]([CH3:18])[C:19]1([CH3:20])[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1
120,[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]3[CH:7]([CH:8]1[O:9]2)[C:11]([CH3:10])([CH3:12])[O:13][NH:14]3
121,[CH3:1]/[CH:2]=[CH:3]/[CH3:4].[CH3:5][O:6][C:7](=[O:8])[C:9]([C:10]([CH3:11])=[O:12])=[N+:13]([CH3:14])[C-:15]([CH3:16])[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1
122,[CH3:1][C:2]1([CH3:3])[CH:4]([CH:5]=[O:6])[C:13]([CH3:14])([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[N:12]=[C:11]1[C:9]([O:8][CH3:7])=[O:10]
123,[CH3:1][O:2][C:3]1=[C:4]([C:5]([CH3:6])=[O:7])[CH:8]2[CH:9]3[CH:10]([CH:11]1[O:12]2)[C:26]([C:27]([CH3:28])=[O:29])([C:30]([CH3:31])=[O:32])[N:24]([CH3:25])[C:17]3([C:15]([O:14][CH3:13])=[O:16])[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1
124,[CH3:1][O:2][C:3]#[C:4][C:5](=[O:6])[O:7][CH3:8].[N:9]#[C:10][C:11]#[N+:12][CH-:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1
125,[CH3:1][C:2]([CH3:3])=[CH:4][C@H:5]1[C@H:6]([C:7]([CH3:8])=[CH2:9])[C:14]2([C:12]([NH:11][CH3:10])=[O:13])[NH:15][C:16]1([CH3:17])[O:18][C:19]2=[O:20]
126,[C:1]1(=[O:2])[C@@:3]2([O:4][CH3:5])[C@@:6]([O:7][CH3:8])([C:9](=[O:10])[C:11]([CH3:12])=[C:13]1[CH3:14])[C:19]([C:17]([NH:16][CH3:15])=[O:18])([C:27](=[O:28])[NH:29][CH3:30])[NH:20][C:21]2([C:22]#[N:23])[C:24]([CH3:25])=[O:26]
127,[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:6]2=[C:7]([C:8]([Br:9])([C:10]([CH3:11])=[O:12])[CH2:13][CH2:14][CH2:15][CH2:16]1)[C:21]1([C:19]([NH:18][CH3:17])=[O:20])[C:22](=[O:23])[O:24][C:25]2([c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[N:32]1[CH3:33]
128,[C:1]1(=[O:2])[C@:3]2([O:4][CH3:5])[C@:6]([O:7][CH3:8])([C:9](=[O:10])[C:11]([CH3:12])=[C:13]1[CH3:14])[N:19]([C:17]([NH:16][CH3:15])=[O:18])[N:20]([CH3:21])[C:22]2([C:23]#[N:24])[C:25]([CH3:26])=[O:27]
129,[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[C:14]([C:12]([O:11][CH3:10])=[O:13])([C:15]#[N:16])[N:17]([CH3:18])[C:19]1([CH3:20])[CH3:21]
130,[CH2:1]1[CH2:2][C:7]2([C:5]([O:4][CH3:3])=[O:6])[C:8](=[O:9])[O:10][C:11]1([CH3:12])[N:13]2[CH3:14]
131,[C:1]1(=[O:2])[CH:3]=[CH:4][C:5](=[O:6])[CH:7]=[CH:8]1.[CH3:9][O:10][C:11](=[O:12])[C-:13]([O+:14]=[CH:15][C:16]([CH3:17])=[O:18])[C:19]([CH3:20])=[O:21]
132,[CH3:12][N-:13][N+:14]([CH3:15])=[C:16]([C:17]#[N:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1.[F:1][C:2]([F:3])=[C:4]([F:5])[c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1
133,[CH3:19][C:20]([C:21]#[N:22])=[N+:23]([CH3:24])[CH-:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1.[CH3:1][O:2][CH:3]1[C:4]#[C:5][C:6]([C:7]([F:8])([F:9])[F:10])([C:11]([F:12])([F:13])[F:14])[CH2:15][CH2:16][CH2:17][CH2:18]1
134,[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[NH:17][N:15]([CH3:16])[N:14]1[C:12]([O:11][CH3:10])=[O:13]
135,[CH2:1]1[CH2:2][C:9]([C:10]#[N:11])([C:12](=[O:13])[NH:14][CH3:15])[N:8]=[C:7]1[C:5]([NH:4][CH3:3])=[O:6]
136,[CH3:1][NH:2][C:3](=[O:4])[C:5]1([Cl:6])[C:7]([Cl:8])([Cl:9])[C:16]([C:17](=[O:18])[O:19][CH3:20])=[N:15][C:14]1([C:12]([NH:11][CH3:10])=[O:13])[C:21](=[O:22])[O:23][CH3:24]
137,[CH3:17][NH:18][C:19](=[O:20])[C:21](=[O+:22][O-:23])[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1.[CH3:1][C:2](=[O:3])[C:4]1([Cl:5])[C:6]#[C:7][C:8]([C:9]#[N:10])([C:11]#[N:12])[CH2:13][CH2:14][CH2:15][CH2:16]1
138,[Br:1][C:2]1=[C:3]([Br:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2.[CH3:10][NH:11][C:12](=[O:13])[C-:14]([CH3:15])[N+:16]([CH3:17])=[C:18]([C:19]#[N:20])[C:21]([CH3:22])=[O:23]
139,[CH3:1][O:2][C:3](=[O:4])[C:5]1=[C:6]([C:7]#[N:8])[CH:9]2[CH:10]3[CH:11]([CH:12]1[O:13]2)[CH:21]([C:22]#[N:23])[NH:20][C:18]3([C:16]([NH:15][CH3:14])=[O:17])[CH3:19]
140,[CH2:1]1[CH2:2][N:6]([C:4]([CH3:3])=[O:5])[N:7]=[C:8]1[C:9]#[N:10]
141,[CH3:1][CH:2]1[C:3]2=[C:4]([C:5]([F:6])([F:7])[CH2:8][CH2:9][CH2:10][CH2:11]1)[C:15]([C:16](=[O:17])[NH:18][CH3:19])([c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)[N:13]([CH3:14])[CH2:12]2
142,[CH3:1][O:2][C:3]12[C:4]([O:5][CH3:6])([CH:7]3[CH:8]=[CH:9][CH:10]1[O:11]3)[C:14]([CH3:15])([C:16](=[O:17])[O:18][CH3:19])[N:13]=[CH:12]2
143,[CH3:1][O:2][C:3](=[O:4])[C:5]1([F:6])[C:7]([F:8])([F:9])[CH:14]([C:12]([NH:11][CH3:10])=[O:13])[NH:15][NH:16]1
144,[C:1]1(=[O:2])[CH:3]=[CH:4][C:5](=[O:6])[CH:7]=[CH:8]1.[CH3:9][C:10]([c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)=[N+:17]([CH3:18])[C-:19]([CH3:20])[CH3:21]
145,[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6](=[O:7])[NH:8][CH3:9])[C:10]([C:11]#[N:12])([C:13]#[N:14])[CH:18]([c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[O:17][N:16]1[CH3:15]
146,[CH3:1][C@H:2]1[C@H:3]([CH3:4])[C:9]([C:7]([O:6][CH3:5])=[O:8])([C:12]([CH3:13])=[O:14])[N:10]=[N:11]1
147,[O-:1][C:2](=[O:3])[C@@H:4]1[C@H:5]([C:6](=[O:7])[O-:8])[C:13]2([C:11]([O:10][CH3:9])=[O:12])[O:14][C:15]1([C:16]([CH3:17])=[O:18])[O:19][C:20]2=[O:21]
148,[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[C@H:6]2[C@:7]1([C:8]([NH2:9])=[O:10])[C:19]1([c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[C:17](=[O:18])[O:16][C:15]2([C:13]([NH:12][CH3:11])=[O:14])[O:26]1
149,[CH3:16][NH:17][C:18](=[O:19])[C-:20]([O+:21]=[C:22]([C:23]#[N:24])[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1)[c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1.[CH3:1][C:2]1([C:3]#[N:4])[C:5]#[C:6][C:7]([C:8]#[N:9])([C:10]#[N:11])[CH2:12][CH2:13][CH2:14][CH2:15]1
150,[CH3:1]/[CH:2]=[CH:3]/[CH3:4].[CH3:5][O:6][C:7](=[O:8])[c:9]1[o:10][c:11](=[O:12])[c-:13]([C:14](=[O:15])[O:16][CH3:17])[o+:18]1
151,[CH3:17][O:18][C:19](=[O:20])[C-:21]([O+:22]=[C:23]([C:24]#[N:25])[C:26]#[N:27])[c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1.[CH3:1][C:2](=[O:3])[C:4]1=[C:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[CH:12]2[CH2:13][CH2:14][CH:15]1[CH2:16]2
152,[CH3:1][O:2][C:3](=[O:4])[C:5]1=[C:6]([Cl:7])[CH:12]([C:10]([O:9][CH3:8])=[O:11])[N:13]([CH3:14])[C:15]1([C:16]#[N:17])[C:18]([CH3:19])=[O:20]
153,[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[C@H:6]2[C@:7]1([C:8]([NH2:9])=[O:10])[C:19]1([C:20]([CH3:21])=[O:22])[O:18][C:16](=[O:17])[C:15]2([C:13]([O:12][CH3:11])=[O:14])[N:23]1[CH3:24]
154,[C:1]1(=[O:2])[C:3]([O:4][CH3:5])=[C:6]([O:7][CH3:8])[C:9](=[O:10])[C@@:11]2([CH3:12])[C@:13]1([CH3:14])[CH:16]([CH3:15])[N:17]([CH3:18])[C:19]2([C:20]([CH3:21])=[O:22])[C:23]([CH3:24])=[O:25]
155,[CH3:10][NH:11][C:12](=[O:13])[C:14]#[N+:15][C-:16]([C:17]([CH3:18])=[O:19])[C:20](=[O:21])[O:22][CH3:23].[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]
156,[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10].[CH3:11][N-:12][O+:13]=[C:14]([C:15](=[O:16])[NH:17][CH3:18])[C:19](=[O:20])[O:21][CH3:22]
157,[CH2:1]1[C@@H:2]2[C@H:3]([N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10])[C:19]([C:20](=[O:21])[NH:22][CH3:23])([c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1)[N:17]([CH3:18])[C:15]2([C:13]([NH:12][CH3:11])=[O:14])[CH3:16]
158,[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]1([CH3:8])[CH2:9][C:13]2([C:14]#[N:15])[NH:12][C:11]1([CH3:10])[C:17](=[O:18])[O:16]2
159,[CH3:1][NH:2][C:3](=[O:4])[C:5]12[C:6]([Cl:7])([CH:8]3[CH2:9][CH2:10][CH:11]1[CH2:12]3)[C:15]([C:16]([CH3:17])=[O:18])([C:19](=[O:20])[O:21][CH3:22])[NH:14][CH2:13]2
160,[CH3:1]/[CH:2]=[CH:3]/[CH3:4].[CH3:5][NH:6][C:7](=[O:8])[C-:9]([CH3:10])[NH+:11]=[C:12]([CH3:13])[C:14]#[N:15]
161,[CH3:11][O:12][C:13](=[O:14])[C-:15]([CH3:16])[O+:17]=[C:18]([C:19]([CH3:20])=[O:21])[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1.[N:1]#[C:2][C:3]1=[C:4]([Br:5])[CH:6]2[CH:7]=[CH:8][CH:9]1[O:10]2
162,[CH3:1][O:2][C:3](=[O:4])[C:5]#[C:6][C:7]#[N:8].[CH3:9][NH:10][C:11](=[O:12])[CH:13]=[N+:14]([CH3:15])[C-:16]([CH3:17])[C:18](=[O:19])[NH:20][CH3:21]
163,[CH3:14][NH:15][C:16](=[O:17])[CH-:18][O+:19]=[C:20]([C:21]#[N:22])[C:23](=[O:24])[O:25][CH3:26].[CH3:1][O:2][C:3](=[O:4])[C:5]1([Cl:6])[C:7]#[C:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13]1
164,[CH3:10][O:11][C:12](=[O:13])[CH-:14][NH+:15]=[C:16]([C:17]([CH3:18])=[O:19])[C:20]([CH3:21])=[O:22].[CH3:1][C:2]1=[C:3]([Br:4])[CH:5]2[CH2:6][CH2:7][CH:8]1[CH2:9]2
165,[CH3:1][C:2]([CH3:3])=[C:4]([CH3:5])[CH3:6].[CH3:7][C:8](=[O:9])[CH:10]=[NH+:11][CH-:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1
166,[CH3:1][C:2]1([CH3:3])[C:4]2=[C:5]([C:6]([C:7]#[N:8])([C:9]([F:10])([F:11])[F:12])[CH2:13][CH2:14][CH2:15][CH2:16]1)[C:21]([C:19]([NH:18][CH3:17])=[O:20])([C:22]#[N:23])[O:24][C:25]2([C:26]#[N:27])[c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1
167,[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[O:6].[CH3:7][NH:8][C:9](=[O:10])[C-:11]([NH+:12]=[CH:13][C:14]([CH3:15])=[O:16])[C:17](=[O:18])[NH:19][CH3:20]
168,[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[C@H:6]2[C@:7]1([C:8]([NH2:9])=[O:10])[C:15]1([C:13]([O:12][CH3:11])=[O:14])[O:16][C:17](=[O:18])[C:19]2([C:20]([CH3:21])=[O:22])[O:23]1
169,[CH3:1][C:2]1([C:3]([F:4])([F:5])[F:6])[C:7]2=[C:8]([C:9]([c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)([c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[CH2:22][CH2:23][CH2:24][CH2:25]1)[C:30]([C:28]([NH:27][CH3:26])=[O:29])([C:35](=[O:36])[NH:37][CH3:38])[O:31][N:32]2[C:33]#[N:34]
170,[CH2:1]1[C@H:2]2[C@@H:3]([N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10])[C:15]1([C:13]([NH:12][CH3:11])=[O:14])[O:16][C:17]2([C:18]#[N:19])[O:20][C:21]1=[O:22]
171,[CH3:14][C:15](=[O:16])[C-:17]([N+:18]#[C:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)[c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1.[CH3:1][O:2][C:3]1([F:4])[C:5]#[C:6][C:7]([Br:8])([Br:9])[CH2:10][CH2:11][CH2:12][CH2:13]1
172,[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[C:23]([CH3:24])([C:25](=[O:26])[O:27][CH3:28])[N:21]([CH3:22])[C:14]1([C:12]([O:11][CH3:10])=[O:13])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1
173,[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6](=[O:7])[NH:8][CH3:9])[C:10]2=[C:11]([C:12]([F:13])([Cl:14])[CH2:15][CH2:16][CH2:17][CH2:18]1)[N:25]1[O:24][C:23]2([C:21]([NH:20][CH3:19])=[O:22])[C:27](=[O:28])[O:26]1
174,[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[C:7]2=[C:8]([C:9]([CH3:10])([CH3:11])[CH2:12][CH2:13][CH2:14][CH2:15]1)[NH:22][O:21][C:20]2([C:18]([NH:17][CH3:16])=[O:19])[C:23](=[O:24])[NH:25][CH3:26]
175,[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[C:18]2([CH3:19])[C:16](=[O:17])[O:15][C:14]1([C:12]([O:11][CH3:10])=[O:13])[N:20]2[CH3:21]
176,[CH3:1][NH:2][C:3](=[O:4])[CH:5]1[C:6]2=[C:7]([C:8]([CH3:9])([CH3:10])[CH2:11][CH2:12][CH2:13][CH2:14]1)[C:19]1([C:17]([O:16][CH3:15])=[O:18])[C:20](=[O:21])[O:22][N:23]2[N:24]1[CH3:25]
177,[CH3:1][O:2][C:3](=[O:4])[C:5]1([F:6])[C:7]2=[C:8]([C:9]([C:10]([F:11])([F:12])[F:13])([C:14]([F:15])([F:16])[F:17])[CH2:18][CH2:19][CH2:20][CH2:21]1)[C:25]1([c:26]3[cH:27][cH:28][cH:29][cH:30][cH:31]3)[NH:24][C:23]2([CH3:22])[O:34][C:32]1=[O:33]
178,[CH3:15][NH:16][C:17](=[O:18])[C:19]([C:20]#[N:21])=[NH+:22][C-:23]([C:24](=[O:25])[O:26][CH3:27])[c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1.[CH:1](=[CH:2]\[c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)\[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1
179,[CH3:1][C:2]1([CH3:3])[C:4]([CH3:5])([CH3:6])[C:15]([CH3:16])([CH3:17])[N:13]([CH3:14])[C:11]1([C:9]([NH:8][CH3:7])=[O:10])[CH3:12]
180,[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[O:6].[CH3:7][NH:8][C:9](=[O:10])[C:11]([C:12](=[O:13])[NH:14][CH3:15])=[N+:16]([CH3:17])[N-:18][C:19]#[N:20]
181,[Cl:1][C:2]1=[C:3]([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[CH:10]2[CH:11]3[CH:12]([CH:13]1[O:14]2)[CH2:15][NH:16][C:17]3([C:18]([CH3:19])=[O:20])[C:21](=[O:22])[NH:23][CH3:24]
182,[CH3:1][O:2][C:3](=[O:4])[C:5]12[C:6]([O:7][CH3:8])([CH:9]3[CH2:10][CH2:11][CH:12]1[CH2:13]3)[CH:20]([C:21]([CH3:22])=[O:23])[NH:19][C:18]2([C:16]([NH:15][CH3:14])=[O:17])[C:24]([CH3:25])=[O:26]
183,[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]1([CH3:8])[CH2:9][N:13]([C:14]([CH3:15])=[O:16])[N:12]=[C:11]1[CH3:10]
184,[CH3:1][O:2][C:3](=[O:4])[C:5]12[C:6]([c:7]3[cH:8][cH:9][cH:10][cH:11][cH:12]3)([CH:13]3[CH:14]=[CH:15][CH:16]1[O:17]3)[C:22]([C:20]([NH:19][CH3:18])=[O:21])([c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1)[NH:23][C:24]2([C:25]#[N:26])[C:27](=[O:28])[O:29][CH3:30]
185,[CH2:1]1[CH2:2][CH:4]([CH3:3])[N:5]([CH3:6])[CH:7]1[C:8]([CH3:9])=[O:10]
186,[CH3:1][C:2]([CH3:3])=[CH:4][C@H:5]1[C@H:6]([C:7]([CH3:8])=[CH2:9])[C:17]2([CH3:18])[O:16][C:14](=[O:15])[C:13]1([C:11]([CH3:10])=[O:12])[N:19]2[CH3:20]
187,[CH3:1][NH:2][C:3](=[O:4])[C:5]12[C:6]([F:7])([CH:8]3[CH2:9][CH2:10][CH:11]1[CH2:12]3)[O:18][NH:17][C:16]2([C:14]([CH3:13])=[O:15])[C:19]([CH3:20])=[O:21]
188,[CH3:1][C:2]([CH3:3])=[CH:4][C@H:5]1[C@H:6]([C:7]([CH3:8])=[CH2:9])[N:13]([c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[N:12]=[C:11]1[CH3:10]
189,[CH3:9][C:10](=[O:11])[c:12]1[o:13][c:14](=[O:15])[c-:16]([CH3:17])[n+:18]1[CH3:19].[O-:1][C:2](=[O:3])/[CH:4]=[CH:5]\[C:6](=[O:7])[O-:8]
190,[CH3:1][C:2]1([C:3]([F:4])([F:5])[F:6])[C:7]2=[C:8]([C:9]([C:10]#[N:11])([C:12]#[N:13])[CH2:14][CH2:15][CH2:16][CH2:17]1)[C:24]([c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1)([c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1)[NH:23][N:22]2[c:21]1[cH:20][cH:19][cH:18][cH:38][cH:37]1
191,[CH3:1][O:2][C:3]1=[CH:4][CH:5]2[CH:6]3[CH:7]([CH:8]1[O:9]2)[C:14]([C:12]([NH:11][CH3:10])=[O:13])([c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1)[O:15][C:16]3([C:17](=[O:18])[O:19][CH3:20])[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1
192,[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[CH:21]([C:22]([CH3:23])=[O:24])[N:19]([CH3:20])[C:14]1([C:12]([NH:11][CH3:10])=[O:13])[C:15](=[O:16])[NH:17][CH3:18]
193,[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[C:14]([C:12]([O:11][CH3:10])=[O:13])([CH3:15])[NH:16][CH:17]1[C:18]#[N:19]
194,[CH2:1]1[C@H:2]2[C@@H:3]([N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10])[C:17]([C:18]#[N:19])=[N:16][C:15]2([C:13]([NH:12][CH3:11])=[O:14])[C:20](=[O:21])[O:22][CH3:23]
