,xxx
96,[C:1]([C:2]([C:3]([H:4])([O:5][C:6]([H:12])([H:13])[H:14])[C:17]([C:16]([C:15]([H:22])([H:23])[H:24])([H:25])[H:26])([C:18]([H:28])([H:29])[H:30])[H:27])([H:10])[H:11])([H:7])([H:8])[H:9].[N:19]([C:20](=[O:21])[H:32])[H:31]
97,[C:1]([C:2]([H:11])[H:12])([H:8])([H:9])[H:10].[C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[N:7]([H:17])[H:18])([H:13])[O:21][O:20][C:19]([H:22])([H:23])[H:24]
98,[C:15]([C:16]([C:17]([C:18]([H:28])([H:29])[H:30])([N:19]([C:20](=[O:21])[H:32])[H:31])[H:27])([H:25])[H:26])([H:22])([H:23])[H:24].[C:1]([C:2]([C:3]([H:4])[H:5])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11]
99,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])[H:10])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:20]([C:21]([C:22]([C:23]([H:36])([H:37])[H:38])([c:24]1[c:25]([H:39])[c:26]([H:40])[c:27]([H:41])[c:28]([H:42])[c:29]1[H:43])[H:35])([H:33])[H:34])([H:30])([H:31])[H:32]
100,[C:17]([C:18](=[C:19]([H:26])[H:27])[C:20]=[O:21])([H:23])([H:24])[H:25].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])=[C:5]([H:6])[H:7])([H:11])[H:12])([H:8])([H:9])[H:10].[H:13][O:22][H:28]
101,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])=[C:8]([C:9]([H:17])([H:18])[H:19])[H:16])([H:13])[H:14])([H:10])([H:11])[H:12].[H:15][C:21]([C:20]([H:26])([H:27])[H:28])([O:22])[O:23][C:24](=[C:25]([H:30])[H:31])[H:29]
102,[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])([C:5]([H:14])([H:15])[H:16])[C:19]([O:18][C:17]([H:24])([H:25])[H:26])([O:20])[C:21](=[C:22]([H:27])[H:28])[C:23]([H:29])([H:30])[H:31])([H:9])[H:10])([H:6])([H:7])[H:8]
103,[H:8][C:11]([H:12])([H:13])[H:14].[N:1]([C:2](=[O:3])[C:4]=[C:5]([H:9])[H:10])([H:6])[H:7]
104,[C:1]([C:2](=[C:3]([H:4])[C:5](=[O:6])[N:7]([H:13])[H:14])[H:11])([H:8])([H:9])[H:10].[H:12][C:18]([C:17]([O:16][C:15]([H:19])([H:20])[H:21])[H:22])([H:23])[H:24]
105,[C:1]([C:2](=[C:3]([H:4])[H:5])[C:6](=[O:7])[N:8]([H:13])[H:14])([H:9])([H:10])[H:11].[H:12][C:22]1([H:36])[C:21]([H:35])[C:20]([H:34])=[C:19]([C:17]([C:16]([C:15]([H:25])([H:26])[H:27])([H:28])[H:29])([C:18]([H:31])([H:32])[H:33])[H:30])[C:24]([H:38])=[C:23]1[H:37]
106,[C:15]([H:19])([H:20])[H:21].[C:1]([C:2]([C:3]([H:4])([H:5])[C:16]([C:17](=[C:18]([H:25])[H:26])[H:24])([H:22])[H:23])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11]
107,[C:10]([C:11](=[C:12]([H:13])[H:14])[C:15](=[O:16])[O:17][H:22])([H:18])([H:19])[H:20].[O:1]([C:2](=[O:3])[C:4]([C:5]([H:8])([H:9])[H:21])[H:7])[H:6]
108,[C:15]([H:22])([H:23])[H:24].[C:1]([O:2][C:3]([C:4]([H:12])([H:13])[H:14])=[C:5]([H:6])[H:7])([H:8])([H:9])[H:10].[H:11][C:16]([C:17]([C:18]([H:28])([H:29])[H:30])([N:19]([C:20](=[O:21])[H:32])[H:31])[H:27])([H:25])[H:26]
109,[C:18]([H:28])([H:29])[H:30].[C:1]([O:2][C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:6])([H:7])[C:17]([C:16]([C:15]([H:22])([H:23])[H:24])([H:25])[H:26])([N:19]([C:20](=[O:21])[H:32])[H:31])[H:27])[H:11])([H:8])([H:9])[H:10]
110,[C:1]([C:2](=[C:3]([H:4])[O:5][C:6]([H:12])([H:13])[H:14])[H:10])([H:7])([H:8])[H:9].[C:20](=[O:21])[H:32].[H:11][N:19]([C:17]([C:16]([C:15]([H:22])([H:23])[H:24])([H:25])[H:26])([C:18]([H:28])([H:29])[H:30])[H:27])[H:31]
111,[C:10]([C:11]([H:19])[H:20])([H:16])([H:17])[H:18].[O:1]([C:2]1([C:4](=[C:5]([H:8])[H:9])[H:7])[O:3][C:12]1([H:13])[C:14]([C:15]([H:23])([H:24])[H:25])([H:21])[H:22])[H:6]
112,[C:1]([C:2]([H:11])[H:12])([H:8])([H:9])[H:10].[C:3]1([H:4])([C:5](=[O:6])[O:7][H:13])[C:17]([N:16]([C:15](=[C:14]([H:19])[H:20])[H:21])[H:22])([H:23])[O:18]1
113,[C:1]([C:2]([H:3])([H:4])[C:10]([C:11]([H:19])([H:20])[H:21])([C:12]([H:22])([H:23])[H:24])[C:13]([H:25])([H:26])[H:27])([H:5])([H:6])[H:7].[C:8]([C:9]([H:17])[H:18])([H:14])([H:15])[H:16]
114,[H:9][C:12]([C:11]([C:10]([H:18])([H:19])[H:20])([C:15](=[O:16])[N:17]([H:22])[H:23])[H:21])([H:13])[H:14].[O:1]([C:2](=[O:3])[C:4](=[C:5][H:8])[H:7])[H:6]
115,[C:1]([C:2]([C:3]([H:8])([H:9])[C:15]([C:14]([C:13]([H:19])([H:20])[H:21])([H:22])[H:23])([H:16])[C:17]([C:18]([H:26])([H:27])[H:28])([H:24])[H:25])[C:4]([H:10])([H:11])[H:12])([H:5])([H:6])[H:7]
116,[C:14]([C:15]([C:16]([C:17]([H:25])([H:26])[H:27])([C:18]([H:28])([H:29])[H:30])[C:19]([H:31])([H:32])[H:33])([H:23])[H:24])([H:20])([H:21])[H:22].[C:1]([C:2]([C:3]([H:4])[C:5](=[O:6])[O:7][H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
117,[C:13]([C:14](=[C:15]([H:16])[C:17]([C:18]([H:26])([H:27])[H:28])([H:24])[H:25])[H:22])([H:19])([H:20])[H:21].[C:1]([C:2]([C:3]([H:8])[H:9])([C:4]([H:10])([H:11])[H:12])[H:23])([H:5])([H:6])[H:7]
118,[C:1]([H:8])([H:9])([H:10])[C:24]([C:22]([O:21][C:20]([C:19]([H:28])([H:29])[H:30])([H:31])[H:32])=[O:23])([H:25])[C:26]([C:27]([H:35])([H:36])[H:37])([H:33])[H:34].[C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[N:7]([H:17])[H:18])[H:13])([H:11])[H:12]
119,[C:1]([C:2]([C:3]([C:5]([C:6]([H:18])([H:19])[H:20])([H:16])[H:17])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4]([H:13])([H:14])([H:15])[C:21]([H:22])([H:23])[H:24]
120,[C:1]([H:2])([H:3])([H:4])[H:21].[C:5]([C:6]([C:7]([C:8]([H:17])([H:18])[H:19])([O:9][C:10]([H:20])[H:22])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13]
121,[C:1]([H:7])([H:8])[H:9].[C:2]([C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:15])([H:16])[H:17])[C:6]([H:18])([H:19])[H:20])([H:10])([H:11])[C:24]([C:22]([C:21]([H:30])([H:31])[H:32])([C:23]([H:33])([H:34])[H:35])[C:27](=[O:28])[O:29][H:36])([H:25])[H:26]
122,[C:1]([C:2](=[C:3]([H:4])[H:5])[C:6](=[O:7])[O:8][H:13])([H:9])([H:10])[H:11].[H:12][C:14]([H:21])([H:22])[H:23].[O:15][C:16](=[O:17])[C:18](=[C:19]([H:24])[H:25])[C:20]([H:26])([H:27])[H:28]
123,[C:19]([C:20]([H:29])[H:30])([H:26])([H:27])[H:28].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]1([N:7]([H:17])[H:18])[O:6][C:21]1([H:22])[C:23](=[O:24])[N:25]([H:31])[H:32])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
124,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[C:14]1([C:13](=[C:12]([H:20])[H:21])[H:22])[C:15]([H:23])[C:16]([H:24])=[C:17]([H:25])[C:18]([H:26])=[C:19]1[H:27])([H:6])([H:7])[H:8]
125,[C:16]([C:17](=[C:18]([H:19])[H:20])[N:21]([C:22](=[O:23])[H:29])[H:28])([H:24])([H:25])[H:26].[C:1]([H:8])([H:9])[H:10].[C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])([H:12])[H:27]
126,[C:12]([O:13][C:14](=[O:15])[C:16](=[C:17]([H:22])[H:23])[C:18]([H:25])[H:26])([H:19])([H:20])[H:21].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[H:24])([H:6])([H:7])[H:8]
127,[C:17](=[C:18]([N:19][C:20](=[O:21])[H:26])[H:24])([H:22])[H:23].[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:5])([H:6])[H:25])[C:7](=[O:8])[O:9][H:16])([H:10])([H:11])[H:12]
128,[C:1]([O:2])([H:4])([H:5])[H:6].[O:3]([O:11][C:9]([C:8]([C:7]([H:15])([H:16])[H:17])([H:18])[H:19])([C:10]([H:21])([H:22])[H:23])[H:20])[C:12](=[O:13])[C:14]([H:24])([H:25])[H:26]
129,[C:1]([C:2]([C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:15])([H:16])[H:17])[C:6]([H:18])([H:19])[H:20])([H:10])[H:11])([H:7])[H:8].[H:9][C:23]([C:22]([C:21]([H:30])([H:31])[H:32])([O:26][C:27](=[O:28])[C:29]([H:34])([H:35])[H:36])[H:33])([H:24])[H:25]
130,[C:16]([C:17]([C:18]([H:19])[H:20])([N:21]([C:22](=[O:23])[H:29])[H:28])[H:27])([H:24])([H:25])[H:26].[C:1]([C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
131,[O:1]([O:2][C:9]1([H:17])[C:8]([H:16])[C:7]([H:15])=[C:6]([C:5](=[C:4]([H:12])[H:13])[H:14])[C:11]([H:19])=[C:10]1[H:18])[H:3]
132,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])[H:10])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:20](=[C:21]([N:22]([C:23](=[O:24])[H:29])[H:28])[H:27])([H:25])[H:26]
133,[C:1](=[C:2]([H:3])[H:4])([H:6])[H:7].[H:5][O:11][C:10]([O:9][C:8]([H:15])([H:16])[H:17])[C:12](=[C:13]([H:18])[H:19])[C:14]([H:20])([H:21])[H:22]
134,[N:1]([C:2](=[O:3])[C:4]([C:5]([H:9])[H:10])([H:8])[C:12]([C:11]([H:15])([H:16])[H:17])([H:13])[H:14])([H:6])[H:7]
135,[C:11]([O:12])([H:14])([H:15])[H:16].[N:1]([C:2]1([C:4](=[C:5]([H:9])[H:10])[H:8])[O:3][O:13]1)([H:6])[H:7]
136,[C:1]([C:2](=[C:3]([H:10])[H:11])[C:4]([O:5][H:28])([O:6][H:12])[C:15]([C:14]([C:13]([H:23])([H:24])[H:25])([H:26])[H:27])([H:16])[c:17]1[c:18][c:19]([H:29])[c:20]([H:30])[c:21]([H:31])[c:22]1[H:32])([H:7])([H:8])[H:9]
137,[C:1]([C:2](=[C:3]([H:10])[H:11])[C:4](=[O:5])[O:6][H:12])([H:8])[H:9].[H:7][C:15]([C:14]([C:13]([H:21])([H:22])[H:23])([N:18]([C:19](=[O:20])[H:26])[H:25])[H:24])([H:16])[H:17]
138,[C:1]([C:2](=[C:3]([H:4])[C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])[H:10])([H:7])([H:8])[H:9].[H:11][C:20]([N:19]([C:18](=[C:17]([H:22])[H:23])[H:24])[H:25])([O:21])[H:26]
139,[C:1](=[C:2][c:3]1[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]([H:15])[c:8]1[H:16])([H:9])[H:10].[H:11][C:19]([C:18]([C:17]([H:25])([H:26])[H:27])([H:28])[H:29])([H:20])[O:21][C:22](=[O:23])[C:24]([H:30])([H:31])[H:32]
140,[N:1]([C:2](=[O:3])[C:4]([C:5]([H:9])[H:10])([H:8])[C:13]([C:12]([C:11]([H:21])([H:22])[H:23])([H:24])[H:25])([H:14])[c:15]1[c:16]([H:26])[c:17]([H:27])[c:18]([H:28])[c:19]([H:29])[c:20]1[H:30])([H:6])[H:7]
141,[C:1]([C:2]([C:3]([C:4]([H:11])[H:12])([H:10])[C:15]([C:14]([C:13]([H:20])([H:21])[H:22])([H:23])[H:24])([C:16]([H:25])([H:26])[H:27])[C:17](=[O:18])[O:19][H:28])([H:8])[H:9])([H:5])([H:6])[H:7]
142,[C:13]([C:14]([C:15]([H:16])[c:17]1[c:18]([H:28])[c:19]([H:29])[c:20]([H:30])[c:21]([H:31])[c:22]1[H:32])([H:26])[H:27])([H:23])([H:24])[H:25].[C:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:8])[H:9])([H:5])([H:6])[H:7]
143,[O-:2][O+:8]=[C:7]([N:6]([C:5](=[C:4]([H:9])[H:10])[H:11])[H:12])[H:13].[O:1][H:3]
144,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[O:25][H:31])([H:12])[H:13])([H:9])([H:10])[H:11].[C:20]([C:21](=[C:22]([H:29])[H:30])[C:23]=[O:24])([H:26])([H:27])[H:28]
145,[C:1]([C:2]([H:3])([H:4])[C:9]([C:10]([C:11]([H:22])([H:23])[H:24])([C:12]([H:25])([H:26])[H:27])[C:13](=[O:14])[O:15][C:16]([H:28])([H:29])[H:30])([H:20])[H:21])([H:5])([H:6])[H:7].[C:8]([H:17])([H:18])[H:19]
146,[C:12]([C:13](=[O:14])[O:15][C:16](=[C:17]([H:22])[H:23])[H:21])([H:19])[H:20].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[H:18])([H:6])([H:7])[H:8]
147,[C:1]([C:2](=[C:3]([H:4])[O:5][C:6]([H:12])([H:13])[H:14])[H:10])([H:7])([H:8])[H:9].[H:11][C:22]1([H:36])[C:21]([H:35])[C:20]([H:34])=[C:19]([C:17]([C:16]([C:15]([H:25])([H:26])[H:27])([H:28])[H:29])([C:18]([H:31])([H:32])[H:33])[H:30])[C:24]([H:38])=[C:23]1[H:37]
148,[C:1]([H:5])([H:6])[H:7].[O:2]([C:3](=[C:4]([H:9])[H:10])[H:8])[C:13]([C:12]([C:11]([H:19])([H:20])[H:21])([H:22])[H:23])([H:14])[O:15][C:16](=[O:17])[C:18]([H:24])([H:25])[H:26]
149,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[O:16]([O:17])[H:18]
150,[C:1]([C:2]([C:3]([C:5]([C:6]([H:18])([H:19])[H:20])([H:16])[H:17])([H:12])[C:21]([H:22])([H:23])[H:24])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4]([H:13])([H:14])[H:15]
151,[C:1]([C:2]([C:3]([C:4]([H:11])[H:12])([H:10])[C:17]([C:15]([C:14]([C:13]([H:20])([H:21])[H:22])([H:23])[H:24])([C:16]([H:26])([H:27])[H:28])[H:25])([H:18])[H:19])([H:8])[H:9])([H:5])([H:6])[H:7]
152,[C:17]([C:18]([H:27])[H:28])([H:24])([H:25])[H:26].[C:1]([C:2]([C:3]([H:4])([C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])[C:19]([C:20]([H:30])([H:31])[H:32])([N:21]([C:22](=[O:23])[H:34])[H:33])[H:29])([H:10])[H:11])([H:7])([H:8])[H:9]
153,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])[H:10])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:20]([C:21]([C:22]([C:23]([H:31])([H:32])[H:33])([C:24]([H:34])([H:35])[H:36])[C:25]([H:37])([H:38])[H:39])([H:29])[H:30])([H:26])([H:27])[H:28]
154,[C:1]([C:2]([C:3](=[C:4]([H:13])[H:14])[C:5](=[O:6])[O:7][H:16])([H:11])[H:12])([H:8])([H:9])[H:10].[H:15][C:18]([C:17]([H:23])([H:24])[H:25])([O:19])[O:20][C:21](=[C:22]([H:27])[H:28])[H:26]
155,[C:1]([O:2][C:20]([C:18]([O:17][C:16]([H:23])([H:24])[H:25])([C:19]([H:27])([H:28])[H:29])[H:26])([H:21])[H:22])([H:8])([H:9])[H:10].[C:3](=[O:4])[C:5](=[C:6]([H:11])[H:12])[C:7]([H:13])([H:14])[H:15]
156,[C:1](=[C:2]([H:3])[H:4])([H:6])[H:7].[C:9]([O:10][C:11](=[O:12])[C:13]([C:14]([H:23])([H:24])[H:25])([C:15]([C:16]([H:28])([H:29])[H:30])([H:26])[H:27])[H:22])([H:20])[H:21].[H:5][C:8]([H:17])([H:18])[H:19]
157,[C:18](=[C:19]([H:26])[H:27])[C:20](=[O:21])[O:22][H:28].[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])=[C:5]([H:15])[H:16])([H:9])[H:10])([H:6])([H:7])[H:8].[H:14][C:17]([H:23])([H:24])[H:25]
158,[H:9][C:11]([C:10]([H:15])([H:16])[H:17])([C:12]([H:18])([H:19])[H:20])[C:13]#[N:14].[O:1]([C:2](=[O:3])[C:4](=[C:5][H:8])[H:7])[H:6]
159,[C:1]([C:2]([H:3])[H:4])([H:5])([H:6])[H:7].[C:8]([C:9]([C:10]([C:11]([H:22])([H:23])[H:24])([O:12][C:13](=[O:14])[C:15]([H:25])([H:26])[H:27])[H:21])([H:19])[H:20])([H:16])([H:17])[H:18]
160,[C:17]([H:24])([H:25])[H:26].[C:1]([C:2](=[C:3]([H:4])[C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])[H:10])([H:7])([H:8])[H:9].[H:11][C:18]([C:19]([C:20]([H:30])([H:31])[H:32])([N:21]([C:22](=[O:23])[H:34])[H:33])[H:29])([H:27])[H:28]
161,[C:13]([C:14](=[C:15]([H:16])[O:17][C:18](=[O:19])[C:20]([H:26])([H:27])[H:28])[H:24])([H:21])([H:22])[H:23].[C:1]([C:2]([O:3][H:25])[O:4][C:5](=[C:6]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9]
162,[C:1]([C:2]([H:5])([H:6])[O:7][O:8])([H:3])([H:4])[C:9]([H:10])([C:11]([H:13])([H:14])[H:15])[H:12]
163,[C:1]([O:2][C:3](=[C:4]([H:9])[H:10])[H:8])([H:6])[H:7].[H:5][C:13]([C:12]([C:11]([H:17])([H:18])[H:19])([H:20])[H:21])([H:14])[O:15][C:16]([H:22])([H:23])[H:24]
164,[C:1]([H:2])([H:3])([H:4])[H:14].[C:5]([C:6](=[O:7])[O:8][C:9]=[C:10]([H:15])[H:16])([H:11])([H:12])[H:13]
165,[H:9][C:11]([C:10]([H:14])([H:15])[H:16])([H:12])[H:13].[O:1]([C:2](=[O:3])[C:4](=[C:5][H:8])[H:7])[H:6]
166,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([O:6])([N:7]([H:17])[H:18])[C:23]([C:21]([C:20]([C:19]([H:26])([H:27])[H:28])([H:29])[H:30])([C:22]([H:32])([H:33])[H:34])[H:31])([H:24])[H:25])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
167,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[C:25]([C:24]([O:23][C:21]([C:20]([H:26])([H:27])[H:28])=[O:22])[H:29])([H:30])[H:31])([H:12])[H:13])([H:9])([H:10])[H:11]
168,[C:19]([H:29])([H:30])[H:31].[C:1]([C:2]([O:3][C:4]1([C:6](=[C:7]([H:14])[H:15])[H:13])[O:5][C:18]1([C:17]([C:16]([H:24])([H:25])[H:26])([H:27])[H:28])[C:20](=[O:21])[O:22][C:23]([H:32])([H:33])[H:34])([H:11])[H:12])([H:8])([H:9])[H:10]
169,[C:1]([C:2]([C:3]([H:4])([H:5])[H:37])([c:6]1[c:7]([H:16])[c:8]([H:17])[c:9]([H:18])[c:10]([H:19])[c:11]1[H:20])[H:15])([H:12])([H:13])[H:14].[C:21]([C:22]([C:23]([C:24]([H:34])([H:35])[H:36])([N:25][C:26](=[O:27])[H:38])[H:33])([H:31])[H:32])([H:28])([H:29])[H:30]
170,[C:13]([C:14]([C:15](=[C:16]([H:25])[H:26])[C:17](=[O:18])[O:19][H:28])([H:23])[H:24])([H:20])([H:21])[H:22].[C:1]([C:2]([H:8])([H:9])[H:27])([H:5])([H:6])[H:7].[C:3](=[C:4]([H:11])[H:12])[H:10]
171,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[C:21]([C:20]([H:26])([H:27])[H:28])([O:22])[O:23][C:24](=[C:25]([H:30])[H:31])[H:29])([H:13])[H:14])([H:10])([H:11])[H:12]
172,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]=[C:7]([H:14])[H:15])([H:11])[H:12])([H:8])([H:9])[H:10].[H:13][C:18]([C:17]([C:16]([H:24])([H:25])[H:26])([N:21]([C:22](=[O:23])[H:29])[H:28])[H:27])([H:19])[H:20]
173,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([C:6]([H:18])([H:19])[H:20])[H:17])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[H:16][C:21]([H:22])([H:23])[H:24]
174,[C:1]([C:2]([O:3][C:4](=[O:5])[O:26][C:25]([C:6]([H:7])[C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])([N:24]([C:22]([C:21]([C:20]([H:27])([H:28])[H:29])([H:30])[H:31])([C:23]([H:33])([H:34])[H:35])[H:32])[H:36])[H:37])([H:13])[H:14])([H:10])([H:11])[H:12]
175,[C:19]([C:20](=[C:21]([H:22])[O:23][C:24]([H:30])([H:31])[H:32])[H:28])([H:25])([H:26])[H:27].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([O:6][H:29])[N:7]([H:17])[H:18])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
176,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[O:7][H:17])[H:13])[H:12])([H:8])([H:9])[H:10].[H:11][C:18]([H:19])([H:20])[H:21]
177,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:16])([H:17])[H:18])([C:8]([C:9]([H:21])([H:22])[H:23])([H:19])[H:20])[H:15])[H:13])([H:10])([H:11])[H:12].[H:14][O:26][O:25][C:24]([H:27])([H:28])[H:29]
178,[C:15]([C:16]([C:17]([C:18]([H:31])([H:32])[H:33])([c:19]1[c:20]([H:34])[c:21]([H:35])[c:22][c:23]([H:37])[c:24]1[H:38])[H:30])([H:28])[H:29])([H:25])([H:26])[H:27].[C:1]([C:2]([C:3]([H:4])([H:5])[H:36])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11]
179,[C:13]([C:14]([C:15]([C:16]([H:26])([H:27])[H:28])=[C:17]([H:18])[H:19])([H:23])[H:24])([H:20])([H:21])[H:22].[C:1]([C:2]([C:3]([H:8])([H:9])[H:25])[C:4]([H:10])([H:11])[H:12])([H:5])([H:6])[H:7]
180,[C:15]([C:16]=[C:17]([H:24])[H:25])([H:21])([H:22])[H:23].[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[N:7]([H:13])[H:14])[C:18](=[O:19])[O:20][H:26])([H:11])[H:12])([H:8])([H:9])[H:10]
181,[C:19]([C:20]([C:21]([H:22])([C:23](=[O:24])[N:25]([H:31])[H:32])[H:30])[H:29])([H:26])([H:27])[H:28].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[N:7]([H:17])[H:18])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
182,[C:11]([C:12]([H:22])[H:23])([H:19])([H:20])[H:21].[N:1]([H:6])([H:7])[C:13]([C:2](=[O:3])[C:4](=[C:5]([H:9])[H:10])[H:8])([C:14]([H:24])([H:25])[H:26])[C:15](=[O:16])[O:17][C:18]([H:27])([H:28])[H:29]
183,[C:1]([O:2][C:6]([H:7])([C:8]([H:10])([H:11])[O:12][C:13](=[O:15])[H:17])[H:9])([H:3])([H:4])[H:5].[O:14][H:16]
184,[C:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:8])[H:9])([H:5])[H:7].[H:6][C:15]([C:14]([C:13]([H:21])([H:22])[H:23])([H:24])[H:25])([H:16])[O:17][C:18](=[O:19])[C:20]([H:26])([H:27])[H:28]
185,[C:1]([O:2][O:3][C:12]([C:11]([C:9]([O:8][C:7]([H:14])([H:15])[H:16])=[O:10])[C:13]([H:19])([H:20])[H:21])([H:17])[H:18])([H:4])([H:5])[H:6]
186,[C:1]([O:2][C:3](=[C:4]([H:9])[H:10])[H:8])([H:6])[H:7].[H:5][C:13]([C:12]([C:11]([H:21])([H:22])[H:23])([H:24])[H:25])([H:14])[c:15]1[c:16]([H:26])[c:17]([H:27])[c:18]([H:28])[c:19]([H:29])[c:20]1[H:30]
187,[C:13]([H:20])([H:21])[H:22].[O:1]([C:2]1([C:4](=[C:5]([H:8])[H:9])[H:7])[O:3][C:12]1([C:11]([C:10]([H:15])([H:16])[H:17])([H:18])[H:19])[C:14]([H:23])([H:24])[H:25])[H:6]
188,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])([H:10])[C:24]1([H:32])[C:23]([H:31])=[C:22]([C:21](=[C:20]([H:28])[H:29])[H:30])[C:27]([H:35])=[C:26]([H:34])[C:25]1[H:33])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13]
189,[C:17]([C:18](=[O:19])[O:20][C:21]=[C:22]([H:27])[H:28])([H:23])([H:24])[H:25].[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:5])([H:6])[H:26])[C:7](=[O:8])[O:9][H:16])([H:10])([H:11])[H:12]
190,[C:11]([H:20])([H:21])[H:22].[C:1]([C:2]([H:3])([H:4])[C:10]([C:9]([C:8]([H:14])([H:15])[H:16])([H:17])[H:18])([O:12][C:13]([H:23])([H:24])[H:25])[H:19])([H:5])([H:6])[H:7]
191,[C:1]([O:2][C:3]([O:4][H:28])([C:5](=[C:6]([H:11])[H:12])[C:7]([H:13])([H:14])[H:15])[C:18]([C:17]([C:16]([H:24])([H:25])[H:26])[H:27])([C:19]([H:29])([H:30])[H:31])[C:20](=[O:21])[O:22][C:23]([H:32])([H:33])[H:34])([H:8])([H:9])[H:10]
192,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[O:22][C:21]([C:20]([H:26])([H:27])[H:28])[O:23][C:24](=[C:25]([H:30])[H:31])[H:29])([H:13])[H:14])([H:10])([H:11])[H:12]
